epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5978,0.83244,3.03112,1.24124,0.00659,1,0.11583,0.06159,0.51537,2.91902,1.20501,7.145e-05,7.145e-05,7.145e-05
2,15.7477,0.60603,2.88998,1.12261,0.01093,1,0.39913,0.32983,0.36705,2.89903,1.02482,0.000155245,0.000155245,0.000155245
3,16.8275,0.50815,2.68847,1.05907,0.01953,1,0.48066,0.41391,0.37557,2.88872,1.02452,0.000236917,0.000236917,0.000236917
4,17.9044,0.49975,2.54017,1.03235,0.02364,1,0.51239,0.43959,0.38131,2.86191,1.02681,0.000316468,0.000316468,0.000316468
5,18.9296,0.47841,2.31578,1.00243,0.01894,1,0.70201,0.61968,0.35462,2.81239,0.97032,0.000393897,0.000393897,0.000393897
6,19.9758,0.55491,2.14128,1.05009,0.01526,1,0.74133,0.59114,0.46904,2.7804,1.07558,0.000469203,0.000469203,0.000469203
7,20.9919,0.59476,1.91427,1.05902,0.00955,1,0.77062,0.64978,0.46777,2.66104,1.0807,0.000542388,0.000542388,0.000542388
8,22.0315,0.52767,1.68639,1.02617,0.93978,0.09543,0.76134,0.58923,0.56295,2.39473,1.22166,0.00061345,0.00061345,0.00061345
9,23.1495,0.57239,1.53449,1.07383,0.77681,0.25199,0.79599,0.62891,0.61774,2.30304,1.24694,0.00068239,0.00068239,0.00068239
10,24.5299,0.56354,1.43894,1.05393,0.75822,0.4258,0.78022,0.63653,0.59162,2.19075,1.21153,0.000749209,0.000749209,0.000749209
11,25.5124,0.55599,1.30094,1.05522,0.80124,0.60163,0.78949,0.65522,0.54048,2.04394,1.17737,0.000813905,0.000813905,0.000813905
12,26.5054,0.52401,1.26522,1.00999,0.66215,0.43873,0.71586,0.61247,0.54624,2.16558,1.2057,0.000876479,0.000876479,0.000876479
13,27.4829,0.57587,1.27243,1.08889,0.74951,0.48527,0.81917,0.63274,0.67565,2.17276,1.27234,0.000936931,0.000936931,0.000936931
14,28.4514,0.54379,1.11222,1.04102,0.80141,0.69813,0.89522,0.72085,0.60488,1.85517,1.25693,0.000995261,0.000995261,0.000995261
15,29.4078,0.52568,1.11784,1.00676,0.78207,0.65468,0.90094,0.77247,0.55289,1.76574,1.19394,0.00105147,0.00105147,0.00105147
16,30.3953,0.55812,1.11834,1.02401,0.71458,0.63534,0.7884,0.67252,0.61565,1.82464,1.21892,0.00110555,0.00110555,0.00110555
17,31.3354,0.5712,1.09078,1.0341,0.67463,0.6485,0.70495,0.57805,0.68794,1.96487,1.44735,0.00114606,0.00114606,0.00114606
18,32.3092,0.5466,1.06653,1.06095,0.46386,0.49421,0.58619,0.30386,1.55068,2.24726,2.49529,0.00112837,0.00112837,0.00112837
19,33.258,0.63218,1.13437,1.0842,0.73437,0.38962,0.53466,0.25072,1.70652,2.40617,2.59577,0.00111069,0.00111069,0.00111069
20,34.2019,0.59483,1.1418,1.05707,0.55032,0.46468,0.46177,0.27151,1.31817,2.39854,2.05854,0.00109301,0.00109301,0.00109301
21,35.1556,0.59003,1.1111,1.06993,0.47209,0.47852,0.40797,0.19814,1.47368,2.6063,2.27673,0.00107532,0.00107532,0.00107532
22,36.1167,0.52367,1.01139,1.01743,0.55785,0.42065,0.34326,0.16633,1.90208,2.86922,2.90779,0.00105764,0.00105764,0.00105764
23,37.097,0.53331,1.07951,1.02037,0.75146,0.41925,0.61047,0.31551,1.48331,2.26979,2.30928,0.00103995,0.00103995,0.00103995
24,38.096,0.57087,1.0156,1.03581,0.89428,0.74296,0.87892,0.6706,0.72803,1.3311,1.31468,0.00102227,0.00102227,0.00102227
25,39.0448,0.49452,0.96833,0.98775,0.77472,0.89241,0.88884,0.7245,0.61601,1.1458,1.14088,0.00100459,0.00100459,0.00100459
26,40.0028,0.45914,0.87852,0.98714,0.87494,0.95209,0.95925,0.80894,0.51354,0.88063,1.15993,0.000986903,0.000986903,0.000986903
27,40.9285,0.47495,0.88904,1.01202,0.8673,0.9555,0.97803,0.84567,0.53024,0.84242,1.18641,0.000969219,0.000969219,0.000969219
28,41.8953,0.51487,0.92261,0.98553,0.94757,0.8751,0.95481,0.8409,0.47594,0.83362,1.11146,0.000951535,0.000951535,0.000951535
29,42.8328,0.52718,0.90474,1.02425,0.91822,0.79289,0.8952,0.78563,0.49173,1.0205,1.07417,0.000933851,0.000933851,0.000933851
30,43.8102,0.50175,0.882,0.99619,0.80762,0.8233,0.81438,0.70033,0.47975,1.32412,1.06214,0.000916168,0.000916168,0.000916168
31,44.7477,0.50009,0.90804,0.97983,0.84475,0.86013,0.87965,0.78506,0.45554,1.16116,1.04916,0.000898484,0.000898484,0.000898484
